ranking,"series name",Year,certificate,runtime,genre,rating,DETAILS,ACTOR 1,ACTOR 2,ACTOR 3,ACTOR 4,VOTES
1,Bluey,(2018– ),U,7 min,"Animation, Family",9.7,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,David McCormack,Melanie Zanetti,Brad Elliott,Dan Brumm,"7,114"
2,Breaking Bad,(2008–2013),15,49 min,"Crime, Drama, Thriller",9.5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,"1,756,075"
3,The Chosen,(2017– ),,54 min,"Drama, History",9.4,A charismatic fisherman struggling with debt. A troubled woman wrestling with demons. A gifted accountant ostracised from his family and people. In this ground-breaking first season of The Chosen see how Jesus reaches each of these and more as He works His first miracles and embarks on His ministry to change the world. See Him through the eyes of those who knew Him.,Elizabeth Tabish,Shahar Isaac,Jonathan Roumie,Paras Patel,"26,090"
4,BB Ki Vines,(2015– ),Not Rated,,Comedy,9.4,BB Ki Vines is a Video series. Bhuvan Bam is the person who has started BB Ki Vines and all the characters are played by him.,Bhuvan Bam,Amanda Cerny,,,"8,172"
5,The Heroes,(2008– ),Not Rated,30 min,"Animation, Drama, History",9.4,The moral stories of a group of champions (Pahlevanan) living in Kharazm city in 13th century.,Ali Hemmat Momivand,Bijan Alimohamadi,Shahrooz Malek Arayi,Siamak Atlassi,"164,850"
6,Farouk Omar,-2012,,45 min,"Biography, Drama, History",9.3,"The life of Umar Ibn Al-Khattab, the second Caliph of Rashidun Caliphate, before and after he embraces in Islam.",Samer Ismail,Assad Khalifa,Mehmet Sah Celik,Mehyar Khaddour,"5,865"
7,B.E. Rojgaar,(2022– ),Not Rated,35 min,Drama,9.3,"An aspirational tale of three engineer friends, Akshay, Piyu and Papdya, who go on a journey from being 'be rojgaar' to creating 'rojgaar' by stumbling on a start-up idea and going back to their roots.",Sai Tamhankar,Sambhaji Sasane,Jagdish Kannam,Prakash Patil,"5,384"
8,Aspirants,(2021– ),Not Rated,45 min,Drama,9.3,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,Naveen Kasturia,Shivankit Singh Parihar,Abhilash Thapliyal,Sunny Hinduja,"294,082"
9,Scam 1992: The Harshad Mehta Story,-2020,15,54 min,"Biography, Crime, Drama",9.3,"Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.",Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher,Anjali Barot,"140,103"
10,Avatar: The Last Airbender,(2005–2008),PG,23 min,"Animation, Action, Adventure",9.3,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman,Jack De Sena,"301,301"
11,The Joy of Painting,(1983–1994),,30 min,"Documentary, Family",9.3,"In this half-hour program, artist Bob Ross paints on canvas a beautiful oil painting.",Bob Ross,Steve Ross,Dana Jester,Peep,"5,368"
12,The Wire,(2002–2008),18,59 min,"Crime, Drama, Thriller",9.3,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,"328,637"
13,Reply 1988,(2015–2016),13,90 min,"Comedy, Drama, Family",9.2,Follows the lives of 5 families living on the same street in a neighbourhood called Ssangmundong in Seoul. It takes a nostalgic look back at the year 1988.,Hyeri Lee,Go Kyung-Pyo,Ryu Jun-Yeol,Park Bo-gum,"6,818"
14,Critical Role,(2015– ),U,180 min,"Adventure, Fantasy",9.2,"A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.",Matthew Mercer,Sam Riegel,Marisha Ray,Liam O'Brien,"8,768"
15,The Filthy Frank Show,(2011–2017),,12 min,"Short, Comedy",9.2,Filthy Frank and his disease ridden friends talk about various topics and take part in multiple life-threatening shenanigans.,Joji,Artemis Holdenberry,Zeeq,Bloody Hairy,"32,987"
16,Rick and Morty,(2013– ),15,23 min,"Animation, Adventure, Comedy",9.2,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke,"481,218"
17,Game of Thrones,(2011–2019),18,57 min,"Action, Adventure, Drama",9.2,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,"2,001,477"
18,The Sopranos,(1999–2007),18,55 min,"Crime, Drama",9.2,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,"377,225"
19,The World at War,(1973–1974),15,52 min,"Documentary, History, War",9.2,"A groundbreaking 26-part documentary series narrated by the actor  about the deadliest conflict in history, World War II.",Laurence Olivier,Albert Speer,Anthony Eden,Averell Harriman,"25,334"
20,Kota Factory,(2019–2021),12,45 min,"Comedy, Drama",9.1,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",Mayur More,Jitendra Kumar,Ranjan Raj,Alam Khan,"69,078"
21,My Mister,-2018,16,70 min,"Drama, Family",9.1,"A man in his 40's withstands the weight of life. A woman in her 20's goes through different experiences, but also withstands the weight of her life. The man and woman get together to help each other.",Sun-kyun Lee,Ji-eun Lee,Ji-Ah Lee,Park Ho-San,"5,984"
22,Tash ma Tash,(1992–2011),,25 min,"Comedy, Drama",9.1,Follows two guys and their adventures in Kingdom Of Saudi Arabia.,Nasser Al Qasabi,Abdullah Al-Sadhan,Abdullah Al Sinani,Fahad Olayan,"7,693"
23,Bandon Mein Tha Dum!,(2022– ),UA 7+,48 min,"Documentary, Sport",9.1,"Bandon Mein Tha Dum is a documentary series which follows the Border-Gavaskar Trophy Test series of 2020-21 which resulted in India stunningly defeating Australia at their home turf of Gabba, where they hadn't lost a test match in 32 years",Ajinkya Rahane,Ravichandran Ashwin,Cheteshwar Pujara,Rishabh Pant,"5,849"
24,Leyla ile Mecnun,(2011–2022),,80 min,"Adventure, Comedy, Drama",9.1,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",Ali Atay,Serkan Keskin,Ahmet Mümtaz Taylan,Osman Sonant,"93,284"
25,Sherlock,(2010–2017),15,88 min,"Crime, Drama, Mystery",9.1,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,"898,629"
26,Fullmetal Alchemist: Brotherhood,(2009–2012),15,24 min,"Animation, Action, Adventure",9.1,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,Kent Williams,Iemasa Kayumi,Vic Mignogna,Romi Park,"159,029"
27,Arcane,(2021– ),15,41 min,"Animation, Action, Adventure",9.1,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.",Hailee Steinfeld,Kevin Alejandro,Jason Spisak,Terri Douglas,"182,885"
28,Gullak,(2019– ),12+,24 min,"Comedy, Drama, Family",9.1,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.",Jameel Khan,Geetanjali Kulkarni,Vaibhav Raj Gupta,Harsh Mayar,"15,865"
29,The Twilight Zone,(1959–1964),12,51 min,"Drama, Fantasy, Horror",9.1,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",Rod Serling,Robert McCord,Jay Overholts,Vaughn Taylor,"81,303"
30,Yeh Meri Family,-2018,7+,30 min,"Comedy, Drama, Family",9,Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,Vishesh Bansal,Mona Singh,Akarsh Khurana,Ahan Nirban,"23,515"
31,Koombiyo,(2017–2018),,20 min,"Crime, Drama, Thriller",9,35 year old bachelor Jehan and his partner in crime Priyantha try to exploit the loopholes in the law in order to make a living.,Thumindu Dodantenne,Kalana Gunasekara,Andrew Pulle,Yureni Noshika,"17,320"
32,Leah Remini: Scientology and the Aftermath,(2016–2019),,47 min,"Documentary, History, Mystery",9,A series featuring stories from former members of the Church of Scientology whose lives have been affected by the Church's alleged harmful practices.,Leah Remini,Mike Rinder,Mary Kahn,Claire Headley,"5,927"
33,Taskmaster,(2015– ),15,47 min,"Comedy, Game-Show",9,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.",Greg Davies,Alex Horne,Kerry Godliman,Richard Herring,"11,377"
34,Attack on Titan,(2013–2023),15,24 min,"Animation, Action, Adventure",9,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",Josh Grelle,Yûki Kaji,Yui Ishikawa,Marina Inoue,"351,042"
35,Hunter x Hunter,(2011–2014),12,24 min,"Animation, Action, Adventure",9,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.",Issei Futamata,Megumi Han,Cristina Valenzuela,Mariya Ise,"90,643"
36,Matsya Kaand,(2021– ),UA 16+,,Thriller,9,"A master of disguise, a charmer, and a smooth talker - this is a story about genius conman Matsya Thada. Fate throws him a curveball when a cunning and ruthless cop wants to apprehend him at any cost.",Ravi Dubey,Madhur Mittal,Raj Sharma,Zoya Afroz,"6,188"
37,Campus Diaries,(2022– ),UA 16+,40 min,"Comedy, Drama, Romance",9,Campus Diaries is a coming-of-age drama of six students at Excel University.,Harsh Beniwal,Ritvik Sahore,Srishti Rindani,Saloni Khanna,"14,701"
38,Sarabhai V/S Sarabhai,(2004–2017),12+,30 min,Comedy,9,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background.",Satish Shah,Ratna Pathak Shah,Sumeet Raghavan,Rupali Ganguly,"16,641"
39,The Legend of Hanuman,(2021– ),PG,25 min,Animation,9,"When the power-hungry Ravan tore through the world to unleash evil, in his way stood a humble vaanar awoken to his divinity to become an immortal legend.",Da Man,Shakti Singh,Sharad Kelkar,Sanket Mhatre,"6,837"
40,As If,(2021– ),,30 min,Comedy,9,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,Feyyaz Yigit,Kivanç Kilinç,Ahmet Kürsat Öçalan,Celal Öztürk,"10,929"
41,Not Me,(2021– ),Not Rated,45 min,"Action, Crime, Thriller",9,"Boys Love drama revolves around White disguising himself as his twin Black in order to discover who betrayed him, and who attacked him and put him in a coma.",Jumpol Adulkittiporn,Atthaphan Phunsawat,Kanaphan Puitrakul,Tanutchai Wijitwongthong,"10,426"
42,Ek Thi Begum,-2020,18,27 min,"Crime, Drama",9,"Inspired by true events - 'Ek Thi Begum', is the untold revenge story of Ashraf a.k.a Sapna.",Anuja Sathe,Rajendra Shisatkar,Ankit Mohan,Chinmay Mandlekar,"6,295"
43,Clarkson's Farm,(2021– ),PG,45 min,"Documentary, Comedy, Reality-TV",9,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,Jeremy Clarkson,Kaleb Cooper,Charlie Ireland,Gerald Cooper,"33,401"
44,Vratice se rode,(2007–2008),,55 min,"Comedy, Crime, Drama",9,"A story of two friends and petty thieves trying to make a living, but failing in every possible way.",Nikola Djuricko,Dragan Bjelogrlic,Srdjan 'Zika' Todorovic,Ljubomir Bandovic,"7,828"
45,Death Note,(2006–2007),12,24 min,"Animation, Crime, Drama",9,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô,"306,608"
46,The Office,(2005–2013),15,22 min,Comedy,9,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilson,"553,133"
47,Firefly,(2002–2003),12,44 min,"Adventure, Drama, Sci-Fi",9,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,"261,145"
48,Ramayan,(1987–1988),U,30 min,"Adventure, Drama, Family",9,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.",Arun Govil,Deepika Chikhalia,Sunil Lahri,Arvind Trivedi,"19,563"
49,Batman: The Animated Series,(1992–1995),PG,23 min,"Animation, Action, Adventure",9,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,"100,780"
50,Only Fools and Horses,(1981–2003),12,95 min,Comedy,9,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,David Jason,Nicholas Lyndhurst,Roger Lloyd Pack,Buster Merryfield,"50,854"
51,Flames,(2018– ),Not Rated,20 min,"Comedy, Drama, Romance",8.9,A teenage romance from The Timeliners that aims straight from the heart. This web-series is the story of a young romance unfolding as a chemical reaction.,Ritvik Sahore,Tanya Maniktala,Sunakshi Grover,Shivam Kakar,"28,672"
52,Content Cop,(2015– ),15,20 min,"Comedy, Crime, Talk-Show",8.9,"In an effort to bring justice to the YouTube community, former police officer Ian Carter takes on the title of ""Content Cop"". Using his old police uniform and raw wit, Ian sets out to stop the creators that bring nothing but discord to his online city.",Ian Washburn,Calvin Vail,Bryan Le,Roman Atwood,"12,520"
53,Senke nad Balkanom,(2017– ),18,60 min,"Crime, Drama, Thriller",8.9,"A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.",Andrija Kuzmanovic,Marija Bergam,Dragan Bjelogrlic,Jovana Stojiljkovic,"11,340"
54,Sugarland,(2019– ),,,"Animation, Comedy, Family",8.9,Sugerland is a Tv series that tells the stories of a land with more than 180 characters from a crazy person who knows a lot but acts like wise people to a wise man who acts like a crazy.,,,,,"35,384"
55,Last Week Tonight with John Oliver,(2014– ),15,30 min,"Comedy, History, News",8.9,Former Daily Show host and correspondent  brings his persona to this weekly news satire program.,John Oliver,David Kaye,Ryan Barger,Noel MacNeal,"87,101"
56,Mahabharat,(2013–2014),12+,20 min,"Drama, History, War",8.9,"The mother of all wars, the epitome of all rivalries, the cauldron of emotions, insecurities, jealousies, and power play - Mahabharat.",Saurabh Raj Jain,Shaheer Sheikh,Pooja Sharma,Aham Sharma,"8,674"
57,Fargo,(2014– ),15,53 min,"Crime, Drama, Thriller",8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks,"364,508"
58,True Detective,(2014–2019),18,55 min,"Crime, Drama, Mystery",8.9,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch,"551,365"
59,Nathan for You,(2013–2017),Not Rated,30 min,"Documentary, Comedy",8.9,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.",Nathan Fielder,Anthony Filosa,Brian S. Wolfe,Salomon Flores,"26,662"
60,Gravity Falls,(2012–2016),PG,23 min,"Animation, Action, Adventure",8.9,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",Jason Ritter,Alex Hirsch,Kristen Schaal,Linda Cardellini,"100,134"
61,How the Universe Works,(2010– ),U,60 min,Documentary,8.9,"A users guide to the cosmos from the big bang to galaxies, stars, planets and moons. Where did it all come from and how does it all fit together. A primer for anyone who has ever looked up at the night sky and wondered.",Phil Plait,Michelle Thaller,Mike Rowe,Richard Lintern,"6,760"
62,Rocket Boys,(2022– ),UA 16+,45 min,"Drama, History",8.9,"The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future.",Jim Sarbh,Ishwak Singh,Regina Cassandra,Rajit Kapoor,"11,171"
63,Mumbai Diaries 26/11,(2021– ),UA,,"Drama, Thriller",8.9,"Set during the 2008 Mumbai attacks, it follows the staff of Bombay General Hospital and their travails during the fateful night of November 26, 2008.",Mohit Raina,Konkona Sen Sharma,Mrunmayee Deshpande,Satyajeet Dubey,"28,488"
64,Panchayat,(2020– ),15,35 min,"Comedy, Drama",8.9,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.",Jitendra Kumar,Raghuvir Yadav,Chandan Roy,Faisal Malik,"64,591"
65,The Road to Paradise,(2021– ),,,Drama,8.9,,Hedy Krissane,Khawla Chemakh,Aïcha Ben Ahmed,Malek Ben Saad,"9,930"
66,Still Game,(2002–2019),12,30 min,Comedy,8.9,"Cult Scottish comedy about the lives of two OAP's Jack and Victor and their views on how it used to be in the old days and how bad it is now in the fictional area of Craiglang, Glasgow.",Ford Kiernan,Greg Hemphill,Paul Riley,Gavin Mitchell,"7,671"
67,Cowboy Bebop,(1998–1999),12,24 min,"Animation, Action, Adventure",8.9,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara,Steve Blum,"114,486"
68,The West Wing,(1999–2006),12,44 min,Drama,8.9,Inside the lives of staffers in the West Wing of the White House.,Martin Sheen,Rob Lowe,Allison Janney,John Spencer,"73,976"
69,Mahabharat,(1988–1990),12+,45 min,"Adventure, Drama, History",8.9,"When a dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation.",Harish Bhimani,Nitish Bharadwaj,Mukesh Khanna,Gajendra Chauhan,"17,655"
70,Friends,(1994–2004),15,22 min,"Comedy, Romance",8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc,"959,012"
71,Seinfeld,(1989–1998),PG,22 min,Comedy,8.9,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander,"306,459"
72,Pew News,(2018–2020),Not Rated,15 min,"Comedy, News",8.8,"The Pew News team reports unbiased news in which neither Gloria or Poppy ever give their own opinion, but sometimes they do. Just don't tell Pewdiepie.",Mary Katherine Ham,Felix Kjellberg,Poppy Harlow,Wolf Blitzer,"14,864"
73,ImMATURE,(2019– ),Not Rated,25 min,"Comedy, Drama, Romance",8.8,"A 5-episode coming-of-age story about the many first adventures in a young man's life. Dhruv is 16, and in a hurry to grow up. With a little help from his school friends, the wannabe ...                 »",Rashmi Agdekar,Omkar Kulkarni,Chinmay Chandraunshuh,Visshesh Tiwari,"8,009"
74,Succession,(2018– ),15,60 min,Drama,8.8,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",Nicholas Braun,Peter Friedman,Matthew Macfadyen,Brian Cox,"129,787"
75,Haikyuu!!,(2014–2020),PG,24 min,"Animation, Comedy, Drama",8.8,"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.",Ayumu Murase,Kaito Ishikawa,Yu Hayashi,Satoshi Hino,"23,043"
76,BoJack Horseman,(2014–2020),18,25 min,"Animation, Comedy, Drama",8.8,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",Will Arnett,Amy Sedaris,Alison Brie,Aaron Paul,"146,419"
77,Better Call Saul,(2015–2022),12,46 min,"Crime, Drama",8.8,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman.",Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Michael Mando,"425,104"
78,Anthony Bourdain: Parts Unknown,(2013–2018),,42 min,"Documentary, Adventure",8.8,"Anthony Bourdain visits countries, delving into their political issues as well as indigenous food and culture.",Anthony Bourdain,Tom Vitale,David Scott Holloway,Eric Ripert,"6,128"
79,Narcos,(2015–2017),15,49 min,"Biography, Crime, Drama",8.8,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",Pedro Pascal,Wagner Moura,Boyd Holbrook,Alberto Ammann,"408,268"
80,Peaky Blinders,(2013–2022),18,60 min,"Crime, Drama",8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",Cillian Murphy,Paul Anderson,Sophie Rundle,Helen McCrory,"501,552"
81,Black Mirror,(2011–2019),15,60 min,"Drama, Mystery, Sci-Fi",8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones,"522,470"
82,Steins;Gate,(2011–2015),12,24 min,"Animation, Comedy, Drama",8.8,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",Mamoru Miyano,Asami Imai,Kana Hanazawa,Ashly Burch,"59,130"
83,Pod prikritie,(2011–2016),A,60 min,"Action, Crime, Drama",8.8,Trained young policeman goes undercover in the gang of the most dangerous mafia boss in Bulgaria.,Ivaylo Zahariev,Zachary Baharov,Vladimir Penev,Marian Valev,"26,957"
84,Jugaadistan,(2022– ),18,40 min,"Comedy, Drama, Thriller",8.8,"A college life drama focusing on the gritty side of campus life, Politics, Love and Emotions.",Rukshar Dhillon,Taaruk Raina,Sumeet Vyas,Arjun Mathur,"5,156"
85,Behzat Ç. an Ankara Detective Story,(2010–2019),,90 min,"Crime, Drama, Mystery",8.8,"Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other...                 »",Erdal Besikçioglu,Inanç Konukçu,Ege Aydan,Berkan Sal,"29,627"
86,Dhindora,(2021– ),Not Rated,25 min,"Comedy, Drama",8.8,"It revolves around Bhuvan and his family's everyday lives, when an unexpected purchase leads to a series of events and depicts every common man's larger than life dreams.",Bhuvan Bam,Gayatri Bhardwaj,Jeeveshu Ahluwalia,Anup Soni,"114,718"
87,Horrible Histories,(2003–2022),PG,28 min,"Comedy, Family, History",8.8,"A group of British comedians show the sides of history they don't teach you in school. From the 'Savage Stone Age' to the 'Troublesome 20th Century', you see the full side to history.",Jim Howick,Simon Farnaby,Mathew Baynton,Martha Howe-Douglas,"5,047"
88,1883,(2021–2022),,60 min,"Drama, Western",8.8,Follows the Dutton family as they embark on a journey west.,Sam Elliott,Tim McGraw,Faith Hill,Isabel May,"55,036"
89,Spy x Family,(2022– ),Not Rated,,"Animation, Action, Comedy",8.8,"A spy on an undercover mission gets married and adopts a child as part of his cover. His wife and daughter have secrets of their own, and all three must strive to keep together.",Takuya Eguchi,Atsumi Tanezaki,Saori Hayami,Alex Organ,"11,924"
90,High,(2020– ),18,35 min,"Crime, Drama, Thriller",8.8,Shiv Mathur is an addict and eventually finds himself in a rehab facility. The rehab is run by people who are working on a mysterious compound. This magical pill seems to have an edge above all; but is this miracle drug worth dying for?,Akshay Oberoi,Ranvir Shorey,Mrinmayee Godbole,Shweta Basu Prasad,"6,845"
91,Hospital Playlist,(2020–2021),12,84 min,"Comedy, Drama",8.8,Hospital Playlist tells the story of five doctors who have been friends since they entered medical school in 1999.,Jo Jung-Suk,Yoo Yeon-Seok,Jung Kyung-ho,Dae-Myung Kim,"5,006"
92,Dirin Dirin,(2015– ),,,"Animation, Comedy",8.8,"This Iranian animated series has short, comedy episodes that tells stories about ""Vey"" and other characters",Mohammadreza Alimardani,Kourosh Torbat Zadeh,,,"17,705"
93,Ted Lasso,(2020– ),Caution,30 min,"Comedy, Drama, Sport",8.8,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.",Jason Sudeikis,Brett Goldstein,Brendan Hunt,Nick Mohammed,"184,888"
94,Heartstopper,(2022– ),12,30 min,"Drama, Romance",8.8,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,Joe Locke,Kit Connor,Yasmin Finney,William Gao,"42,631"
95,The Untamed,-2019,16,50 min,"Action, Adventure, Drama",8.8,Two talented disciples of respectable magical clans unit during the cultivation training and through many hardships they are together.,Zhan Xiao,Yibo Wang,Zhuocheng Wang,Lu Xuan,"6,098"
96,Vinland Saga,(2019– ),16,24 min,"Animation, Action, Adventure",8.8,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,Billy Kametz,Kira Buckland,Keith Silverstein,Ray Chase,"32,043"
97,Fighting Spirit,(2000–2002),,20 min,"Animation, Action, Comedy",8.8,"Ippo, a teenage boy with a pure heart and unrelenting determination, discovers a passion for boxing after veteran fighter Takamura saves him from bullies.",Steve Staley,Richard Epcar,Grant George,D.C. Douglas,"6,668"
98,It's Always Sunny in Philadelphia,(2005– ),15,22 min,Comedy,8.8,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,Charlie Day,Glenn Howerton,Rob McElhenney,Kaitlin Olson,"218,610"
99,One Piece,(1999– ),12,24 min,"Animation, Action, Adventure",8.8,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",Mayumi Tanaka,Tony Beck,Laurent Vernin,Akemi Okamura,"115,646"
100,Chappelle's Show,(2003–2006),15,22 min,"Comedy, Music",8.8,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,Dave Chappelle,Donnell Rawlings,Rudy Rush,Charlie Murphy,"62,889"
101,Curb Your Enthusiasm,(2000– ),18,28 min,Comedy,8.8,The life and times of  and the predicaments he gets himself into with his friends and complete strangers.,Larry David,Cheryl Hines,Jeff Garlin,Susie Essman,"124,924"
102,Dragon Ball Z,(1989–2003),PG,24 min,"Animation, Action, Adventure",8.8,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.",Doc Harris,Christopher Sabat,Scott McNeil,Sean Schemmel,"126,927"
103,Freaks and Geeks,(1999–2000),,44 min,"Comedy, Drama",8.8,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,Linda Cardellini,John Francis Daley,James Franco,Samm Levine,"140,298"
104,Dragon Ball Z,(1989–1996),PG,24 min,"Animation, Action, Adventure",8.8,The adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.,Jôji Yanami,Kyle Hebert,Masako Nozawa,Sean Schemmel,"78,006"
105,Twin Peaks,(1990–1991),15,47 min,"Crime, Drama, Mystery",8.8,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook,"193,467"
