ranking,"series name ",Year,certificate,runtime,genre,rating,DETAILS,ACTOR 1,ACTOR 2,ACTOR 3,ACTOR 4,VOTES
604,The Missing,(2014–2016),15,60 min,"Crime, Drama, Mystery",,Tony and Emily Hughes' vacation turns into a nightmare when their 5-year-old son Oliver disappears from a large celebrating crowd in Northern France.,Tchéky Karyo,Anastasia Hille,James Nesbitt,Frances O'Connor,"26,317"
605,Grace and Frankie,(2015–2022),15,30 min,Comedy,,"Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together.",Jane Fonda,Lily Tomlin,Sam Waterston,Martin Sheen,"50,681"
606,Forever,(2014–2015),,43 min,"Crime, Drama, Fantasy",,A 200-year-old man works in the New York City Morgue trying to find a key to unlock the curse of his immortality.,Ioan Gruffudd,Alana De La Garza,Joel David Moore,Donnie Keshawarz,"56,998"
607,Byeol-e-seo on geu-dae,(2013–2014),16,60 min,"Comedy, Drama, Fantasy",,"Do Min-Joon, an alien that came to our planet 400 years ago, will be able to return to his planet in 3 months, but when he meets famous actress Chun Song-Yi, all the centuries he spent distancing himself from humans come to an end.",Jun Ji-hyun,Kim Soo-hyun,Park Hae-Jin,Yoo In-Na,"12,448"
608,Steven Universe,(2013–2020),PG,11 min,"Animation, Short, Action",,"A team of intergalactic warriors fights to protect the Earth, but the combination of three highly trained beings and one quirky young boy leaves the team struggling to overcome the dangerous scenarios that are put in front of them.",Zach Callison,Deedee Magno,Michaela Dietz,Estelle,"32,542"
609,Penny Dreadful,(2014–2016),18,60 min,"Drama, Fantasy, Horror",,"Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London.",Josh Hartnett,Timothy Dalton,Eva Green,Reeve Carney,"120,414"
610,Looking,(2014–2015),18,30 min,"Comedy, Drama, Romance",,The experiences of three close friends living and loving in modern-day San Francisco.,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,Lauren Weedman,"18,845"
611,Toast of London,(2012– ),15,30 min,Comedy,,"Steven Toast, an eccentric middle-aged actor with a chequered past, spends more time dealing with his problems off stage than performing on stage.",Matt Berry,Robert Bathurst,Doon Mackichan,Shazad Latif,"8,848"
612,Sense8,(2015–2018),15,60 min,"Drama, Mystery, Sci-Fi",,"A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order.",Bae Doona,Jamie Clayton,Tina Desai,Tuppence Middleton,"152,370"
613,Shetland,(2013– ),15,60 min,"Crime, Drama, Mystery",,DI Jimmy Perez and his team investigate crimes within the close knit island community of Shetland.,Douglas Henshall,Alison O'Donnell,Steven Robertson,Mark Bonnar,"17,145"
614,Psycho-Pass,(2012– ),15,25 min,"Animation, Action, Crime",,"Believing in humanity and order, policewoman Akane Tsunemori obeys the ruling, computerized, precognitive Sibyl System. But when she faces a criminal mastermind who can elude this ""perfect"" system, she questions both Sibyl and herself.",Kana Hanazawa,Miyuki Sawashiro,Takahiro Sakurai,Shizuka Itô,"18,664"
615,Black Sails,(2014–2017),15,56 min,"Action, Adventure, Drama",,"Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island.""",Jessica Parker Kennedy,Toby Stephens,Hannah New,Zach McGowan,"102,813"
616,8 Out of 10 Cats Does Countdown,(2012– ),,30 min,"Comedy, Game-Show",,A raunchy spoof edition of  (1982) with the stars of  (2005).,Jimmy Carr,Susie Dent,John Pohlhammer,Rachel Riley,"5,774"
617,The Hollow Crown,(2012–2016),15,150 min,"Drama, History, War",,"A mini-series of adaptations of Shakespeare's history plays: Richard II, Henry IV: Parts 1 and 2, and Henry V.",Anton Lesser,Simon Russell Beale,Tom Georgeson,John Mackay,"6,549"
618,Bates Motel,(2013–2017),18,45 min,"Drama, Horror, Mystery",,"A contemporary prequel to Psycho, giving a portrayal of how Norman Bates' psyche unravels through his teenage years, and how deeply intricate his relationship with his mother, Norma, truly is.",Vera Farmiga,Freddie Highmore,Max Thieriot,Nicola Peltz Beckham,"105,951"
619,Fate/Zero,(2011–2012),15,24 min,"Animation, Action, Adventure",,Seven chosen mages and their summoned heroic spirits fight against each other to try and win the Holy Grail: a magical device that can grant any wish.,Ayako Kawasumi,Kari Wahlgren,Sayaka Ôhara,Jôji Nakata,"12,730"
